Expertise,Difficulty,Time
Out-domain,Easy,193.0
Out-domain,Hard,816.0
Out-domain,Hard,579.0
Out-domain,Hard,750.0
Out-domain,Hard,536.0
Out-domain,Hard,310.0
Out-domain,Hard,240.0
Out-domain,Hard,281.0
In-domain,Easy,430.0
In-domain,Easy,1365.0
In-domain,Easy,1497.0
In-domain,Easy,430.0
In-domain,Easy,702.0
In-domain,Easy,266.0
In-domain,Easy,305.0
In-domain,Easy,537.0
In-domain,Easy,394.0
In-domain,Easy,395.0
In-domain,Easy,261.0
In-domain,Easy,462.0
In-domain,Easy,87.0
In-domain,Easy,425.0
In-domain,Easy,993.0
In-domain,Easy,131.0
In-domain,Easy,1402.0
In-domain,Easy,162.0
In-domain,Easy,400.0
In-domain,Hard,1009.0
In-domain,Hard,668.0
In-domain,Hard,412.0
In-domain,Hard,1032.0
In-domain,Hard,819.0
In-domain,Hard,714.0
In-domain,Hard,752.0
In-domain,Hard,1320.0
In-domain,Hard,341.0
In-domain,Hard,392.0
In-domain,Hard,674.0
In-domain,Hard,512.0
In-domain,Hard,866.0
In-domain,Hard,429.0
In-domain,Hard,563.0
In-domain,Hard,269.0
In-domain,Hard,607.0
In-domain,Hard,268.0
In-domain,Hard,782.0
In-domain,Hard,809.0
In-domain,Hard,542.0
In-domain,Hard,213.0
In-domain,Hard,343.0
In-domain,Hard,1387.0
In-domain,Hard,150.0
In-domain,Hard,95.0
In-domain,Hard,384.0
In-domain,Hard,383.0
In-domain,Hard,291.0
In-domain,Hard,299.0
