Expertise,Difficulty,Cases
Out-domain,Hard,6.0
Out-domain,Hard,11.0
Out-domain,Hard,8.0
Out-domain,Hard,13.0
Out-domain,Hard,6.0
Out-domain,Hard,7.0
Out-domain,Hard,14.0
Out-domain,Hard,12.0
Out-domain,Hard,9.0
Out-domain,Hard,11.0
Out-domain,Hard,10.0
Out-domain,Hard,12.0
Out-domain,Hard,2.0
Out-domain,Hard,14.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,8.0
In-domain,Easy,4.0
In-domain,Easy,9.0
In-domain,Easy,7.0
In-domain,Easy,12.0
In-domain,Easy,2.0
In-domain,Easy,4.0
In-domain,Easy,16.0
In-domain,Easy,6.0
In-domain,Easy,8.0
In-domain,Easy,2.0
In-domain,Easy,3.0
In-domain,Easy,2.0
In-domain,Easy,7.0
In-domain,Hard,8.0
In-domain,Hard,5.0
In-domain,Hard,5.0
In-domain,Hard,15.0
In-domain,Hard,12.0
In-domain,Hard,10.0
In-domain,Hard,8.0
In-domain,Hard,10.0
In-domain,Hard,3.0
In-domain,Hard,4.0
In-domain,Hard,6.0
In-domain,Hard,9.0
In-domain,Hard,12.0
In-domain,Hard,6.0
In-domain,Hard,10.0
In-domain,Hard,2.0
In-domain,Hard,5.0
In-domain,Hard,10.0
In-domain,Hard,10.0
In-domain,Hard,4.0
In-domain,Hard,5.0
In-domain,Hard,11.0
In-domain,Hard,7.0
In-domain,Hard,10.0
In-domain,Hard,14.0
In-domain,Hard,3.0
In-domain,Hard,2.0
